2014/01/02 21:02:37 visio_parser.pl listing of values
2014/01/02 21:02:37 visio_parser.pl path	example value(s)
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Colors/ColorEntry@IX:	0, 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 24, 25, 26, 27, 3, 4, 5, 6, 7, 8, 9
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Colors/ColorEntry@RGB:	#000000, #000080, #0000FF, #008000, #008080, #00FF00, #00FFFF, #1A1A1A, #333333, #4D4D4D, #666666, #800000, #800080, #808000, #808080, #9A9A9A, #B3B3B3, #C0C0C0, #CDCDCD, #DDE2CD, #E6E6E6, #EFF1E4, #FF0000, #FF00FF, #FFFF00, #FFFFFF
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/BuildNumberCreated/#text:	805509500
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/BuildNumberEdited/#text:	805312791
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/Category/#text:	File->Properties->Category
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/Company/#text:	File->Properties->Company
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/Creator/#text:	File->Properties->Author
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/CustomProps/CustomProp/#text:	1, TC010497201033
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/CustomProps/CustomProp@Name:	_TemplateID, _VPID_EXTENDED_VDX
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/CustomProps/CustomProp@PropType:	Number, String
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/Desc/#text:	File->Properties->Description
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/Keywords/#text:	File->Properties->Keywords
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/Manager/#text:	File->Properties->Manager
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/PreviewPicture/#text:	XXXXX
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/PreviewPicture@Size:	13240
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/Subject/#text:	File->Properties->Subject
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/Template/#text:	c:\program files\microsoft office\office12\1033\BASFLO_M.VST
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/TimeCreated/#text:	2011-04-14T15:59:55
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/TimeEdited/#text:	2013-12-30T08:53:54
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/TimePrinted/#text:	2011-04-14T15:59:55
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/TimeSaved/#text:	2013-12-30T08:53:58
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentProperties/Title/#text:	File->Properties->Title
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSettings/DynamicGridEnabled/#text:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSettings/GlueSettings/#text:	9
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSettings/ProtectBkgnds/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSettings/ProtectMasters/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSettings/ProtectShapes/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSettings/ProtectStyles/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSettings/SnapExtensions/#text:	34
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSettings/SnapSettings/#text:	295
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSettings@DefaultFillStyle:	7
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSettings@DefaultGuideStyle:	4
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSettings@DefaultLineStyle:	7
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSettings@DefaultTextStyle:	7
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSettings@TopPage:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet/DocProps/AddMarkup/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet/DocProps/DocLangID/#text:	1033
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet/DocProps/LockPreview/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet/DocProps/OutputFormat/#text:	2
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet/DocProps/PreviewQuality/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet/DocProps/PreviewQuality@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet/DocProps/PreviewScope/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet/DocProps/PreviewScope@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet/DocProps/ViewMarkup/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet/User/Prompt@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet/User/Value/#text:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet/User@ID:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet/User@NameU:	msvNoAutoConnect
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet@FillStyle:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet@LineStyle:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet@Name:	TheDoc
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet@NameU:	TheDoc
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/DocumentSheet@TextStyle:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/FaceNames/FaceName@CharSets:	-2147483648 0, 1 0, 1048577 0, 1073742335 -65536, 1073873055 -539557888, 1074266271 -539557888, 1614742015 -65536, 262145 0, 536871071 0, 536936959 539492352, 65537 0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/FaceNames/FaceName@Flags:	261, 325, 327, 357, 421
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/FaceNames/FaceName@ID:	1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 20, 21, 22, 23, 3, 4, 5, 6, 7, 8, 9
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/FaceNames/FaceName@Name:	Arial, Arial Unicode MS, Cordia New, Dhenu, Dotum, Estrangelo Edessa, Gautami, Gulim, Latha, MS Farsi, MS PGothic, Mangal, PMingLiU, Raavi, Sendnya, Shruti, SimSun, Sylfaen, Symbol, Times New Roman, Tunga, Vrinda, Wingdings
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/FaceNames/FaceName@Panos:	1 10 5 2 5 3 6 3 3 3, 2 1 6 0 3 1 1 1 1 1, 2 11 3 4 2 2 2 2 2 4, 2 11 5 2 4 2 4 2 2 3, 2 11 6 0 0 1 1 1 1 1, 2 11 6 0 7 2 5 8 2 4, 2 11 6 4 2 2 2 2 2 4, 2 2 5 0 0 0 0 0 0 0, 2 2 6 3 5 4 5 2 3 4, 2 4 5 3 5 2 3 3 2 2, 3 8 6 0 0 0 0 0 0 0, 5 0 0 0 0 0 0 0 0 0, 5 5 1 2 1 7 6 2 5 7
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/FaceNames/FaceName@UnicodeRanges:	-1 -369098753 63 0, -1342176593 1775729915 48 0, -1610611969 684719354 22 0, -2130706429 0 0 0, -2147475389 0 128 0, -520082689 -1073741822 8 0, -536859905 -1073711037 9 0, -536859905 -1073711039 9 0, -536870145 1791491579 18 0, 0 0 0 0, 1048579 0 0 0, 131075 0 0 0, 2097155 0 0 0, 262147 0 0 0, 3 680460288 6 0, 32771 0 0 0, 4194307 0 0 0, 65539 0 0 0, 67110535 0 0 0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/Icon/#text:	XXXXX
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/Active/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/Color/#text:	255
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/ColorTrans/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/ColorTrans@F:	No Formula
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/Glue/#text:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/Lock/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/Name/#text:	Connector, Flowchart
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/NameUniv/#text:	Connector, Flowchart
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/Print/#text:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/Snap/#text:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/Status/#text:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer/Visible/#text:	1
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Layer@IX:	0
2014/01/02 21:02:37 visio_parser.pl /VisioDocument/Masters/Master/PageSheet/Misc/BegTrigger/#text:	0
